id,Neighbourhood Cleansed
1093,ΖΑΠΠΕΙΟ
1094,Biesdorf
1095,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
1096,la Vall d'Hebron
1097,Karlshorst
1098,Grunewald
1099,Friedrichsfelde Nord
1100,Altglienicke
1101,Schmargendorf
1102,Siemensstadt
1103,Watermael-Boitsfort
1104,Bridgeport
1105,Berchem-Sainte-Agathe
1106,Britz
1107,Rudow
1108,Bay Village
1109,Woodlawn
1110,Albany Park
1111,Dunning
1112,South Shore
1113,South Chicago
1114,Norwood Park
1115,Chaffee Park
1116,Platt Park
1117,Gateway - Green Valley Ranch
1118,Virginia Village
1119,Washington Park
1120,Cherry Creek
1121,Clayton
1122,Willowbrae and Duddingston Village
1123,Drylaw
1124,Trinity
1125,"Inverleith, Goldenacre and Warriston"
1126,Granton and Royston Mains
1127,Granton West and Salvesen
1128,Muirhouse
1129,Queensferry East
1130,Thônex
1131,Gorgie West
1132,Greenbank and The Braids
1133,Sham Shui Po
1134,Tai Po
1135,Kwun Tong
1136,Oakland
1137,North Lawndale
1138,Windsor Square
1139,East San Gabriel
1140,Harbor Gateway
1141,La Habra Heights
1142,Calabasas
1143,Little Woods
1144,I Centro Storico
1145,III Monte Sacro
1146,IV Tiburtina
1147,VI Roma delle Torri
1148,VII San Giovanni/Cinecittà
1149,X Ostia/Acilia
1150,XI Arvalia/Portuense
1151,City Heights West
1152,Clairemont Mesa
1153,College Area
1154,Columbia
1155,Core
1156,Cortez Hill
1157,Darnall
1158,Del Cerro
1159,V Prenestino/Centocelle
1160,Otay Ranch
1161,Balboa Park
1162,Bay Park
1163,La Jolla Village
1164,Lake Murray
1165,Midtown District
1166,Mira Mesa
1167,Normal Heights
1168,North Clairemont
1169,Hosford-Abernethy
1170,Richmond
1171,South Portland
1172,Creston-Kenilworth
1173,Sullivan's Gulch
1174,Arbor Lodge
1175,King
1176,Vernon
1177,Irvington
1178,St. Johns
1179,Kenton
1180,Alameda
1181,Piedmont
1182,Cully
1183,Overlook
1184,Concordia
1185,Brooklyn Action Corps
1186,Foster-Powell
1187,Lents
1188,Multnomah
1189,Sellwood-Moreland Improvement League
1190,Woodstock
1191,Eastmoreland
1192,Saint-Louis
1193,Val-Bélair
1194,Quartier 5-4
1195,L'Aéroport
1196,Cité Universitaire
1197,Neufchâtel-Est/Lebourgneuf
1198,Lairet
1199,Saint-Sauveur
1200,Quartier 4-2
1201,Vieux-Québec/Cap-Blanc/Colline parlementaire
1202,Plateau
1203,Des Châtels
1204,Quartier 4-3
1205,Lac-Saint-Charles
1206,Montcalm
1207,Saint-Jean-Baptiste
1208,Vieux-Limoilou
1209,Saint-Roch
1210,Vanier
1211,Sillery
1212,Maizerets
1213,Cap-Rouge
1214,Saint-Sacrement
1215,Pacific Beach
1216,Scripps Ranch
1217,Serra Mesa
1218,South Park
1219,University City
1220,West University Heights
1221,Wooded Area
1222,West of Twin Peaks
1223,Park West
1224,Rancho Bernadino
1225,Rancho Penasquitos
1226,Roseville
1227,San Carlos
1228,Twin Peaks
1229,Western Addition
1230,Haight Ashbury
1231,Outer Mission
1232,Seacliff
1233,Greenwood
1234,North Beacon Hill
1235,South Delridge
1236,Columbia City
1237,Seward Park
1238,Maple Leaf
1239,Ravenna
1240,Outer Sunset
1241,Harrison/Denny-Blaine
1242,Parkrose
1243,Humboldt
1244,Boise
1245,Roseway
1246,Madison South
1247,Beaumont-Wilshire
1248,Sabin
1249,Northwest District
1250,Grant Park
1251,Pearl
1252,Montavilla
1253,Laurelhurst
1254,Kerns
1255,North Tabor
1256,Old Town/Chinatown
1257,Goose Hollow
1258,Buckman
1259,Mt. Tabor
1260,VIII Appia Antica
1261,IX Eur
1262,"Shaw, Logan Circle"
1263,"Capitol View, Marshall Heights, Benning Heights"
1264,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
1265,"West End, Foggy Bottom, GWU"
1266,"Mayfair, Hillbrook, Mahaning Heights"
